token,label
"('form', 'consiste')","('misc', None)"
"('form', 'en')","('misc', None)"
"('form', 'documentar')","('misc', None)"
"('form', 'las')","('misc', None)"
"('form', 'primeras')","('misc', None)"
"('form', 'sonrisas')","('misc', OrderedDict([('SpaceAfter', 'No')]))"
"('form', ',')","('misc', None)"
"('form', 'palabras')","('misc', OrderedDict([('SpaceAfter', 'No')]))"
"('form', ',')","('misc', None)"
"('form', 'pasos')","('misc', OrderedDict([('SpaceAfter', 'No')]))"
"('form', '.')","('misc', OrderedDict([('SpaceAfter', 'No')]))"
"('form', '.')","('misc', OrderedDict([('SpaceAfter', 'No')]))"
"('form', '.')","('misc', None)"
"('form', 'y')","('misc', None)"
"('form', 'cada')","('misc', None)"
"('form', 'una')","('misc', None)"
"('form', 'de')","('misc', None)"
"('form', 'las')","('misc', None)"
"('form', 'anécdotas')","('misc', None)"
"('form', 'de')","('misc', None)"
"('form', 'los')","('misc', None)"
"('form', 'más')","('misc', None)"
"('form', 'pequeños')","('misc', None)"
"('form', 'en')","('misc', None)"
"('form', 'Facebook')","('misc', OrderedDict([('SpaceAfter', 'No')]))"
"('form', ',')","('misc', None)"
"('form', 'Instagram')","('misc', None)"
"('form', 'y')","('misc', None)"
"('form', 'otras')","('misc', None)"
"('form', 'redes')","('misc', None)"
"('form', 'sociales')","('misc', OrderedDict([('SpaceAfter', 'No')]))"
"('form', '.')","('misc', None)"
"('form', 'Y')","('misc', None)"
"('form', 'se')","('misc', None)"
"('form', 'ha')","('misc', None)"
"('form', 'convertido')","('misc', None)"
"('form', 'en')","('misc', None)"
"('form', 'una')","('misc', None)"
"('form', 'práctica')","('misc', None)"
"('form', 'tan')","('misc', None)"
"('form', 'habitual')","('misc', None)"
"('form', 'que')","('misc', None)"
"('form', 'el')","('misc', None)"
"('form', 'diccionario')","('misc', None)"
"('form', 'británico')","('misc', None)"
"('form', 'Collins')","('misc', None)"
"('form', 'lo')","('misc', None)"
"('form', 'incluyó')","('misc', None)"
"('form', 'en')","('misc', None)"
"('form', 'sus')","('misc', None)"
"('form', 'páginas')","('misc', None)"
"('form', 'en')","('misc', None)"
"('form', '2016')","('misc', OrderedDict([('SpaceAfter', 'No')]))"
"('form', '.')","('misc', None)"
"('form', 'Desde')","('misc', None)"
"('form', 'entonces')","('misc', OrderedDict([('SpaceAfter', 'No')]))"
"('form', ',')","('misc', None)"
"('form', 'el')","('misc', None)"
"('form', 'fenómeno')","('misc', None)"
"('form', 'no')","('misc', None)"
"('form', 'ha')","('misc', None)"
"('form', 'dejado')","('misc', None)"
"('form', 'de')","('misc', None)"
"('form', 'crecer')","('misc', OrderedDict([('SpaceAfter', 'No')]))"
"('form', '.')","('misc', None)"
"('form', 'Hasta')","('misc', None)"
"('form', 'ahora')","('misc', OrderedDict([('SpaceAfter', 'No')]))"
"('form', ',')","('misc', None)"
"('form', 'no')","('misc', None)"
"('form', 'ha')","('misc', None)"
"('form', 'existido')","('misc', None)"
"('form', 'otra')","('misc', None)"
"('form', 'generación')","('misc', None)"
"('form', 'de')","('misc', None)"
"('form', 'niños')","('misc', None)"
"('form', 'con')","('misc', None)"
"('form', 'una')","('misc', None)"
"('form', 'infancia')","('misc', None)"
"('form', 'tan')","('misc', None)"
"('form', 'pública')","('misc', OrderedDict([('SpaceAfter', 'No')]))"
"('form', '.')","('misc', None)"
"('form', 'Y')","('misc', None)"
"('form', 'es')","('misc', None)"
"('form', 'probable')","('misc', None)"
"('form', 'que')","('misc', OrderedDict([('SpaceAfter', 'No')]))"
"('form', ',')","('misc', None)"
"('form', 'cuando')","('misc', None)"
"('form', 'crezcan')","('misc', OrderedDict([('SpaceAfter', 'No')]))"
"('form', ',')","('misc', None)"
"('form', 'muchos')","('misc', None)"
"('form', 'no')","('misc', None)"
"('form', 'estén')","('misc', None)"
"('form', 'de')","('misc', None)"
"('form', 'acuerdo')","('misc', None)"
"('form', 'con')","('misc', None)"
"('form', 'ello')","('misc', OrderedDict([('SpaceAfter', 'No')]))"
"('form', '.')","('misc', None)"
"('form', '¿')","('misc', OrderedDict([('SpaceAfter', 'No')]))"
"('form', 'Hasta')","('misc', None)"
"('form', 'qué')","('misc', None)"
"('form', 'punto')","('misc', None)"
"('form', 'es')","('misc', None)"
"('form', 'dañino')","('misc', None)"
"('form', 'el')","('misc', None)"
"('form', '""')","('misc', OrderedDict([('SpaceAfter', 'No')]))"
"('form', 'sharenting')","('misc', OrderedDict([('SpaceAfter', 'No')]))"
"('form', '""')","('misc', OrderedDict([('SpaceAfter', 'No')]))"
"('form', '?')","('misc', None)"
"('form', '3')","('misc', None)"
"('form', 'categorías')","('misc', None)"
"('form', 'Podría')","('misc', None)"
"('form', 'decirse')","('misc', None)"
"('form', 'que')","('misc', None)"
"('form', 'existen')","('misc', None)"
"('form', 'tres')","('misc', None)"
"('form', 'categorías')","('misc', None)"
"('form', 'de')","('misc', None)"
"('form', 'padres')","('misc', None)"
"('form', 'en')","('misc', None)"
"('form', 'las')","('misc', None)"
"('form', 'redes')","('misc', None)"
"('form', 'sociales')","('misc', OrderedDict([('SpaceAfter', 'No')]))"
"('form', ':')","('misc', None)"
"('form', 'Los')","('misc', None)"
"('form', 'orgullosos')","('misc', None)"
"('form', 'Los')","('misc', None)"
"('form', 'protectores')","('misc', None)"
"('form', 'Los')","('misc', None)"
"('form', 'irritados')","('misc', None)"
"('form', 'Los')","('misc', None)"
"('form', 'primeros')","('misc', None)"
"('form', 'son')","('misc', None)"
"('form', 'aquellos')","('misc', None)"
"('form', 'a')","('misc', None)"
"('form', 'quienes')","('misc', None)"
"('form', 'les')","('misc', None)"
"('form', 'encantaría')","('misc', None)"
"('form', 'que')","('misc', None)"
"('form', 'sus')","('misc', None)"
"('form', 'contactos')","('misc', None)"
"('form', 'de')","('misc', None)"
"('form', 'Facebook')","('misc', None)"
"('form', 'lo')","('misc', None)"
"('form', 'supieran')","('misc', None)"
"('form', 'todo')","('misc', None)"
"('form', 'sobre')","('misc', None)"
"('form', 'sus')","('misc', None)"
"('form', 'hijos')","('misc', OrderedDict([('SpaceAfter', 'No')]))"
"('form', '.')","('misc', None)"
"('form', 'Y')","('misc', None)"
"('form', 'se')","('misc', None)"
"('form', 'encargan')","('misc', None)"
"('form', 'de')","('misc', None)"
"('form', 'hacerlo')","('misc', None)"
"('form', 'publicando')","('misc', None)"
"('form', 'cada')","('misc', None)"
"('form', 'foto')","('misc', None)"
"('form', 'y')","('misc', None)"
"('form', 'anécdota')","('misc', None)"
"('form', 'a')","('misc', None)"
"('form', 'través')","('misc', None)"
"('form', 'de')","('misc', None)"
"('form', 'la')","('misc', None)"
"('form', 'red')","('misc', None)"
"('form', 'social')","('misc', OrderedDict([('SpaceAfter', 'No')]))"
"('form', '.')","('misc', None)"
"('form', 'Savannah')","('misc', None)"
"('form', 'Morrison')","('misc', OrderedDict([('SpaceAfter', 'No')]))"
"('form', ',')","('misc', None)"
"('form', 'de')","('misc', None)"
"('form', 'Glasgow')","('misc', OrderedDict([('SpaceAfter', 'No')]))"
"('form', ',')","('misc', None)"
"('form', 'Escocia')","('misc', OrderedDict([('SpaceAfter', 'No')]))"
"('form', ',')","('misc', None)"
"('form', 'es')","('misc', None)"
"('form', 'una')","('misc', None)"
"('form', 'de')","('misc', None)"
"('form', 'ellas')","('misc', OrderedDict([('SpaceAfter', 'No')]))"
"('form', '.')","('misc', None)"
"('form', '""')","('misc', OrderedDict([('SpaceAfter', 'No')]))"
"('form', 'Me')","('misc', None)"
"('form', 'encanta')","('misc', None)"
"('form', 'publicar')","('misc', None)"
"('form', 'fotos')","('misc', None)"
"('form', 'de')","('misc', None)"
"('form', 'mi')","('misc', None)"
"('form', 'pequeño')","('misc', None)"
"('form', 'en')","('misc', None)"
"('form', 'Facebook')","('misc', None)"
"('form', 'e')","('misc', None)"
"('form', 'Instagram')","('misc', OrderedDict([('SpaceAfter', 'No')]))"
"('form', '.')","('misc', None)"
"('form', 'Me')","('misc', None)"
"('form', 'encanta')","('misc', None)"
"('form', 'que')","('misc', None)"
"('form', 'mis')","('misc', None)"
"('form', 'amigos')","('misc', None)"
"('form', 'y')","('misc', None)"
"('form', 'familiares')","('misc', None)"
"('form', 'las')","('misc', None)"
"('form', 'comenten')","('misc', None)"
"('form', 'o')","('misc', None)"
"('form', 'hagan')","('misc', None)"
"('form', 'clic')","('misc', None)"
"('form', 'en')","('misc', None)"
"('form', ""'"")","('misc', OrderedDict([('SpaceAfter', 'No')]))"
"('form', 'Me')","('misc', None)"
"('form', 'gusta')","('misc', OrderedDict([('SpaceAfter', 'No')]))"
"('form', ""'"")","('misc', OrderedDict([('SpaceAfter', 'No')]))"
"('form', '""')","('misc', OrderedDict([('SpaceAfter', 'No')]))"
"('form', ',')","('misc', None)"
"('form', 'le')","('misc', None)"
"('form', 'cuenta')","('misc', None)"
"('form', 'a')","('misc', None)"
"('form', 'la')","('misc', None)"
"('form', 'BBC')","('misc', OrderedDict([('SpaceAfter', 'No')]))"
"('form', '.')","('misc', None)"
"('form', '""')","('misc', OrderedDict([('SpaceAfter', 'No')]))"
"('form', 'También')","('misc', None)"
"('form', 'disfruto')","('misc', None)"
"('form', 'comentando')","('misc', None)"
"('form', 'y')","('misc', None)"
"('form', 'haciendo')","('misc', None)"
"('form', 'like')","('misc', None)"
"('form', 'en')","('misc', None)"
"('form', 'las')","('misc', None)"
"('form', 'fotos')","('misc', None)"
"('form', 'de')","('misc', None)"
"('form', 'los')","('misc', None)"
"('form', 'hijos')","('misc', None)"
"('form', 'de')","('misc', None)"
"('form', 'mis')","('misc', None)"
"('form', 'amigos')","('misc', None)"
"('form', 'y')","('misc', None)"
"('form', 'familiares')","('misc', OrderedDict([('SpaceAfter', 'No')]))"
"('form', '.')","('misc', None)"
"('form', 'Me')","('misc', None)"
"('form', 'parece')","('misc', None)"
"('form', 'increíble')","('misc', None)"
"('form', 'que')","('misc', None)"
"('form', 'pueda')","('misc', None)"
"('form', 'sentirme')","('misc', None)"
"('form', 'parte')","('misc', None)"
"('form', 'de')","('misc', None)"
"('form', 'sus')","('misc', None)"
"('form', 'vidas')","('misc', None)"
"('form', 'estando')","('misc', None)"
"('form', 'a')","('misc', None)"
"('form', 'miles')","('misc', None)"
"('form', 'de')","('misc', None)"
"('form', 'kilómetros')","('misc', None)"
"('form', 'de')","('misc', None)"
"('form', 'distancia')","('misc', OrderedDict([('SpaceAfter', 'No')]))"
"('form', '""')","('misc', OrderedDict([('SpaceAfter', 'No')]))"
"('form', '.')","('misc', None)"
"('form', '""')","('misc', OrderedDict([('SpaceAfter', 'No')]))"
"('form', 'En')","('misc', None)"
"('form', 'mi')","('misc', None)"
"('form', 'opinión')","('misc', OrderedDict([('SpaceAfter', 'No')]))"
"('form', ',')","('misc', None)"
"('form', 'mientras')","('misc', None)"
"('form', 'las')","('misc', None)"
"('form', 'fotos')","('misc', None)"
"('form', 'no')","('misc', None)"
"('form', 'sean')","('misc', None)"
"('form', 'indecentes')","('misc', None)"
"('form', 'y')","('misc', None)"
"('form', 'se')","('misc', None)"
"('form', 'pueda')","('misc', None)"
"('form', 'justificar')","('misc', None)"
"('form', 'la')","('misc', None)"
"('form', 'presencia')","('misc', None)"
"('form', 'del')","('misc', None)"
"('form', 'niño')","('misc', None)"
"('form', '(')","('misc', OrderedDict([('SpaceAfter', 'No')]))"
"('form', 'si')","('misc', None)"
"('form', 'se')","('misc', None)"
"('form', 'le')","('misc', None)"
"('form', 'pregunta')","('misc', None)"
"('form', 'cuando')","('misc', None)"
"('form', 'crece')","('misc', OrderedDict([('SpaceAfter', 'No')]))"
"('form', ')')","('misc', None)"
"('form', 'no')","('misc', None)"
"('form', 'hay')","('misc', None)"
"('form', 'problema')","('misc', OrderedDict([('SpaceAfter', 'No')]))"
"('form', '""')","('misc', OrderedDict([('SpaceAfter', 'No')]))"
"('form', ',')","('misc', None)"
"('form', 'agrega')","('misc', OrderedDict([('SpaceAfter', 'No')]))"
"('form', '.')","('misc', None)"
"('form', 'Lo')","('misc', None)"
"('form', 'que')","('misc', None)"
"('form', 'genera')","('misc', None)"
"('form', 'debate')","('misc', None)"
"('form', 'es')","('misc', None)"
"('form', 'que')","('misc', OrderedDict([('SpaceAfter', 'No')]))"
"('form', ',')","('misc', None)"
"('form', 'para')","('misc', None)"
"('form', 'muchos')","('misc', OrderedDict([('SpaceAfter', 'No')]))"
"('form', ',')","('misc', None)"
"('form', 'el')","('misc', None)"
"('form', 'solo')","('misc', None)"
"('form', 'hecho')","('misc', None)"
"('form', 'de')","('misc', None)"
"('form', 'publicar')","('misc', None)"
"('form', 'una')","('misc', None)"
"('form', 'foto')","('misc', None)"
"('form', 'sin')","('misc', None)"
"('form', 'el')","('misc', None)"
"('form', 'permiso')","('misc', None)"
"('form', 'del')","('misc', None)"
"('form', 'menor')","('misc', None)"
"('form', 'ya')","('misc', None)"
"('form', 'es')","('misc', None)"
"('form', 'indecente')","('misc', OrderedDict([('SpaceAfter', 'No')]))"
"('form', '.')","('misc', None)"
"('form', 'Son')","('misc', None)"
"('form', 'los')","('misc', None)"
"('form', 'protectores')","('misc', None)"
"('form', 'de')","('misc', None)"
"('form', 'la')","('misc', None)"
"('form', 'privacidad')","('misc', OrderedDict([('SpaceAfter', 'No')]))"
"('form', ',')","('misc', None)"
"('form', 'no')","('misc', None)"
"('form', 'menos')","('misc', None)"
"('form', 'orgullosos')","('misc', None)"
"('form', 'de')","('misc', None)"
"('form', 'sus')","('misc', None)"
"('form', 'hijos')","('misc', None)"
"('form', 'pero')","('misc', None)"
"('form', 'mucho')","('misc', None)"
"('form', 'más')","('misc', None)"
"('form', 'cautelosos')","('misc', None)"
"('form', 'a')","('misc', None)"
"('form', 'la')","('misc', None)"
"('form', 'hora')","('misc', None)"
"('form', 'de')","('misc', None)"
"('form', 'publicar')","('misc', None)"
"('form', 'imágenes')","('misc', None)"
"('form', 'en')","('misc', None)"
"('form', 'las')","('misc', None)"
"('form', 'que')","('misc', None)"
"('form', 'aparecen')","('misc', None)"
"('form', 'los')","('misc', None)"
"('form', 'menores')","('misc', OrderedDict([('SpaceAfter', 'No')]))"
"('form', '.')","('misc', None)"
"('form', '""')","('misc', OrderedDict([('SpaceAfter', 'No')]))"
"('form', 'Hago')","('misc', None)"
"('form', 'todo')","('misc', None)"
"('form', 'lo')","('misc', None)"
"('form', 'posible')","('misc', None)"
"('form', 'por')","('misc', None)"
"('form', 'no')","('misc', None)"
"('form', 'poner')","('misc', None)"
"('form', 'ninguna')","('misc', None)"
"('form', 'foto')","('misc', None)"
"('form', 'de')","('misc', None)"
"('form', 'mi')","('misc', None)"
"('form', 'hijo')","('misc', None)"
"('form', 'en')","('misc', None)"
"('form', 'Facebook')","('misc', OrderedDict([('SpaceAfter', 'No')]))"
"('form', '""')","('misc', OrderedDict([('SpaceAfter', 'No')]))"
"('form', ',')","('misc', None)"
"('form', 'explica')","('misc', None)"
"('form', 'la')","('misc', None)"
"('form', 'briánica')","('misc', None)"
"('form', 'Rosie')","('misc', None)"
"('form', 'McDonald')","('misc', OrderedDict([('SpaceAfter', 'No')]))"
"('form', '.')","('misc', None)"
"('form', '""')","('misc', OrderedDict([('SpaceAfter', 'No')]))"
"('form', 'Es')","('misc', None)"
"('form', 'un')","('misc', None)"
"('form', 'ser')","('misc', None)"
"('form', 'humano')","('misc', None)"
"('form', 'y')","('misc', None)"
"('form', 'tiene')","('misc', None)"
"('form', 'el')","('misc', None)"
"('form', 'mismo')","('misc', None)"
"('form', 'derecho')","('misc', None)"
"('form', 'a')","('misc', None)"
"('form', 'la')","('misc', None)"
"('form', 'privacidad')","('misc', None)"
"('form', 'que')","('misc', None)"
"('form', 'cualquier')","('misc', None)"
"('form', 'otra')","('misc', None)"
"('form', 'persona')","('misc', OrderedDict([('SpaceAfter', 'No')]))"
"('form', '.')","('misc', None)"
"('form', 'Siendo')","('misc', None)"
"('form', 'tan')","('misc', None)"
"('form', 'pequeño')","('misc', OrderedDict([('SpaceAfter', 'No')]))"
"('form', ',')","('misc', None)"
"('form', 'su')","('misc', None)"
"('form', 'capacidad')","('misc', None)"
"('form', 'de')","('misc', None)"
"('form', 'comprensión')","('misc', None)"
"('form', 'sobre')","('misc', None)"
"('form', 'lo')","('misc', None)"
"('form', 'que')","('misc', None)"
"('form', 'eso')","('misc', None)"
"('form', 'significa')","('misc', None)"
"('form', 'es')","('misc', None)"
"('form', 'mucho')","('misc', None)"
"('form', 'menor')","('misc', None)"
"('form', 'que')","('misc', None)"
"('form', 'la')","('misc', None)"
"('form', 'de')","('misc', None)"
"('form', 'un')","('misc', None)"
"('form', 'adulto')","('misc', OrderedDict([('SpaceAfter', 'No')]))"
"('form', '""')","('misc', OrderedDict([('SpaceAfter', 'No')]))"
"('form', '.')","('misc', None)"
"('form', 'Rosie')","('misc', None)"
"('form', 'considera')","('misc', None)"
"('form', 'que')","('misc', None)"
"('form', 'es')","('misc', None)"
"('form', '""')","('misc', OrderedDict([('SpaceAfter', 'No')]))"
"('form', 'su')","('misc', None)"
"('form', 'trabajo')","('misc', None)"
"('form', 'como')","('misc', None)"
"('form', 'madre')","('misc', None)"
"('form', 'asegurarse')","('misc', None)"
"('form', 'de')","('misc', None)"
"('form', 'que')","('misc', None)"
"('form', 'los')","('misc', None)"
"('form', 'derechos')","('misc', None)"
"('form', 'de')","('misc', None)"
"('form', 'su')","('misc', None)"
"('form', 'hijo')","('misc', None)"
"('form', 'son')","('misc', None)"
"('form', 'reconocidos')","('misc', None)"
"('form', 'y')","('misc', None)"
"('form', 'respetados')","('misc', OrderedDict([('SpaceAfter', 'No')]))"
"('form', '""')","('misc', OrderedDict([('SpaceAfter', 'No')]))"
"('form', '.')","('misc', None)"
"('form', 'Y')","('misc', None)"
"('form', 'por')","('misc', None)"
"('form', 'otra')","('misc', None)"
"('form', 'parte')","('misc', OrderedDict([('SpaceAfter', 'No')]))"
"('form', ',')","('misc', None)"
"('form', 'hay')","('misc', None)"
"('form', 'muchas')","('misc', None)"
"('form', 'personas')","('misc', None)"
"('form', 'están')","('misc', None)"
"('form', 'irritadas')","('misc', None)"
"('form', 'y')","('misc', None)"
"('form', 'hartas')","('misc', None)"
"('form', 'del')","('misc', None)"
"('form', '""')","('misc', OrderedDict([('SpaceAfter', 'No')]))"
"('form', 'sharenting')","('misc', OrderedDict([('SpaceAfter', 'No')]))"
"('form', '""')","('misc', OrderedDict([('SpaceAfter', 'No')]))"
"('form', '.')","('misc', None)"
"('form', 'Sus')","('misc', None)"
"('form', 'muros')","('misc', None)"
"('form', 'de')","('misc', None)"
"('form', 'Facebook')","('misc', None)"
"('form', 'están')","('misc', None)"
"('form', 'repletos')","('misc', None)"
"('form', 'de')","('misc', None)"
"('form', 'fotos')","('misc', None)"
"('form', 'de')","('misc', None)"
"('form', 'los')","('misc', None)"
"('form', 'hijos')","('misc', None)"
"('form', 'de')","('misc', None)"
"('form', 'sus')","('misc', None)"
"('form', 'amigos')","('misc', None)"
"('form', 'y')","('misc', None)"
"('form', 'familiares')","('misc', OrderedDict([('SpaceAfter', 'No')]))"
"('form', '.')","('misc', None)"
"('form', 'Y')","('misc', None)"
"('form', 'ya')","('misc', None)"
"('form', 'tienen')","('misc', None)"
"('form', 'bastante')","('misc', None)"
"('form', 'con')","('misc', None)"
"('form', 'eso')","('misc', OrderedDict([('SpaceAfter', 'No')]))"
"('form', '.')","('misc', None)"
"('form', '""')","('misc', OrderedDict([('SpaceAfter', 'No')]))"
"('form', 'Detesto')","('misc', None)"
"('form', 'cuando')","('misc', None)"
"('form', 'los')","('misc', None)"
"('form', 'padres')","('misc', None)"
"('form', 'publican')","('misc', None)"
"('form', 'cosas')","('misc', None)"
"('form', 'como')","('misc', None)"
"('form', 'mensajes')","('misc', None)"
"('form', 'de')","('misc', None)"
"('form', 'cumpleaños')","('misc', None)"
"('form', 'cuando')","('misc', None)"
"('form', 'sus')","('misc', None)"
"('form', 'hijos')","('misc', None)"
"('form', 'todavía')","('misc', None)"
"('form', 'no')","('misc', None)"
"('form', 'son')","('misc', None)"
"('form', 'lo')","('misc', None)"
"('form', 'suficientemente')","('misc', None)"
"('form', 'mayores')","('misc', None)"
"('form', 'como')","('misc', None)"
"('form', 'para')","('misc', None)"
"('form', 'leerlo')","('misc', OrderedDict([('SpaceAfter', 'No')]))"
"('form', '""')","('misc', OrderedDict([('SpaceAfter', 'No')]))"
"('form', ',')","('misc', None)"
"('form', 'le')","('misc', None)"
"('form', 'dijo')","('misc', None)"
"('form', 'a')","('misc', None)"
"('form', 'la')","('misc', None)"
"('form', 'BBC')","('misc', None)"
"('form', 'Shaun')","('misc', None)"
"('form', 'Bacon')","('misc', OrderedDict([('SpaceAfter', 'No')]))"
"('form', '.')","('misc', None)"
"('form', '""')","('misc', OrderedDict([('SpaceAfter', 'No')]))"
"('form', 'No')","('misc', None)"
"('form', 'me')","('misc', None)"
"('form', 'cuenten')","('misc', None)"
"('form', 'si')","('misc', None)"
"('form', 'es')","('misc', None)"
"('form', 'su')","('misc', None)"
"('form', 'cumpleaños')","('misc', None)"
"('form', 'o')","('misc', None)"
"('form', 'lo')","('misc', None)"
"('form', 'orgullosos')","('misc', None)"
"('form', 'que')","('misc', None)"
"('form', 'están')","('misc', None)"
"('form', 'de')","('misc', None)"
"('form', 'él')","('misc', None)"
"('form', 'o')","('misc', None)"
"('form', 'de')","('misc', None)"
"('form', 'ella')","('misc', OrderedDict([('SpaceAfter', 'No')]))"
"('form', ',')","('misc', None)"
"('form', 'díganselo')","('misc', None)"
"('form', 'a')","('misc', None)"
"('form', 'la')","('misc', None)"
"('form', 'cara')","('misc', OrderedDict([('SpaceAfter', 'No')]))"
"('form', ',')","('misc', None)"
"('form', 'que')","('misc', None)"
"('form', 'viven')","('misc', None)"
"('form', 'en')","('misc', None)"
"('form', 'la')","('misc', None)"
"('form', 'misma')","('misc', None)"
"('form', 'casa')","('misc', OrderedDict([('SpaceAfter', 'No')]))"
"('form', '.')","('misc', None)"
"('form', 'No')","('misc', None)"
"('form', 'necesito')","('misc', None)"
"('form', 'ver')","('misc', None)"
"('form', 'eso')","('misc', OrderedDict([('SpaceAfter', 'No')]))"
"('form', '""')","('misc', OrderedDict([('SpaceAfter', 'No')]))"
"('form', ',')","('misc', None)"
"('form', 'concluye')","('misc', OrderedDict([('SpaceAfter', 'No')]))"
"('form', '.')","('misc', None)"
"('form', 'Ofcom')","('misc', OrderedDict([('SpaceAfter', 'No')]))"
"('form', ',')","('misc', None)"
"('form', 'el')","('misc', None)"
"('form', 'regulador')","('misc', None)"
"('form', 'de')","('misc', None)"
"('form', 'las')","('misc', None)"
"('form', 'comunicaciones')","('misc', None)"
"('form', 'de')","('misc', None)"
"('form', 'Reino')","('misc', None)"
"('form', 'Unido')","('misc', OrderedDict([('SpaceAfter', 'No')]))"
"('form', ',')","('misc', None)"
"('form', 'elaboró')","('misc', None)"
"('form', 'un')","('misc', None)"
"('form', 'estudio')","('misc', None)"
"('form', 'en')","('misc', None)"
"('form', '2017')","('misc', None)"
"('form', 'en')","('misc', None)"
"('form', 'el')","('misc', None)"
"('form', 'que')","('misc', None)"
"('form', 'sugiere')","('misc', None)"
"('form', 'que')","('misc', None)"
"('form', 'publicar')","('misc', None)"
"('form', 'fotos')","('misc', None)"
"('form', 'y')","('misc', None)"
"('form', 'videos')","('misc', None)"
"('form', 'familiares')","('misc', None)"
"('form', 'en')","('misc', None)"
"('form', 'las')","('misc', None)"
"('form', 'redes')","('misc', None)"
"('form', 'sociales')","('misc', None)"
"('form', 'se')","('misc', None)"
"('form', 'ha')","('misc', None)"
"('form', 'convertido')","('misc', None)"
"('form', 'en')","('misc', None)"
"('form', 'un')","('misc', None)"
"('form', '""')","('misc', OrderedDict([('SpaceAfter', 'No')]))"
"('form', 'problema')","('misc', None)"
"('form', 'divisorio')","('misc', OrderedDict([('SpaceAfter', 'No')]))"
"('form', '""')","('misc', OrderedDict([('SpaceAfter', 'No')]))"
"('form', '.')","('misc', None)"
"('form', '""')","('misc', OrderedDict([('SpaceAfter', 'No')]))"
"('form', 'Los')","('misc', None)"
"('form', 'padres')","('misc', None)"
"('form', 'están')","('misc', None)"
"('form', 'muy')","('misc', None)"
"('form', 'divididos')","('misc', None)"
"('form', 'sobre')","('misc', None)"
"('form', 'si')","('misc', None)"
"('form', 'es')","('misc', None)"
"('form', 'o')","('misc', None)"
"('form', 'no')","('misc', None)"
